PROGRAM,CGPA_AKHIR,POSKOD,BANGSA,CACAT,JANTINA,AGAMA,TANGGUNGAN,GAJI,CGPA_MASUK,STATUS_GRAD,HEA_STATUS
OM223,3.53,53300,100,N,P,I,5,5,2,LULUS,TS
BM220,2.67,47810,100,N,P,I,5,5,2,LULUS,TM
AS227,3.52,21400,100,N,P,I,4,2,2,LULUS,TM
AS227,2.97,22000,100,N,P,I,7,1,2,LULUS,TM
AP230,3.18,22100,100,N,P,I,3,1,2.1,LULUS,TS
AP230,3.27,89608,803,N,P,K,2,2,2.1,LULUS,TM
AS227,3.03,33300,100,N,P,I,3,3,2.1,LULUS,TM
AP230,3,1000,100,N,P,I,4,7,2.1,LULUS,TM
AS227,2.84,26900,100,N,P,I,4,3,2.1,LULUS,TS
AP230,3.37,33300,100,N,P,I,6,2,2.11,LULUS,TS
AS227,3.18,5150,100,N,L,I,3,7,2.11,LULUS,TM
AS229,2.27,26300,100,N,P,I,6,2,2.12,GAGAL,LU
AP230,2.85,36000,100,N,P,I,9,2,2.12,LULUS,TM
AP230,3.37,48300,100,N,P,I,2,6,2.12,LULUS,TM
AP230,2.68,24000,100,N,P,I,5,6,2.12,GAGAL,LU
LG220,2.91,43300,100,N,L,I,6,6,2.12,LULUS,TM
OM223,1,43000,100,N,L,I,4,3,2.14,GAGAL,D1
CT224,3.47,31300,100,N,P,I,5,5,2.14,LULUS,TS
CS223,3.07,85000,100,N,P,I,7,4,2.15,LULUS,TM
OM223,2.6,26060,100,N,L,I,6,6,2.16,LULUS,TS
AP230,2.64,36100,100,N,L,I,5,4,2.17,LULUS,TM
AP230,3.17,75150,100,N,P,I,7,4,2.17,LULUS,TM
AP230,2.72,24000,100,N,L,I,6,3,2.18,LULUS,TM
AP230,3.46,44100,100,N,P,I,7,6,2.18,LULUS,TM
AS227,3.58,43650,100,N,P,I,5,6,2.18,LULUS,TM
BM234,3.34,93050,100,N,P,I,3,7,2.18,LULUS,TS
AP230,3.77,34200,100,N,P,I,7,8,2.18,LULUS,ANC
MC225,3.24,40200,100,N,P,I,0,4,2.18,LULUS,TS
LG221,3.18,75460,100,N,P,I,7,3,2.18,LULUS,TS
OM221,3.02,78000,100,N,P,I,7,4,2.21,LULUS,TM
OM221,3.1,26900,100,N,P,I,4,2,2.21,LULUS,TM
BM222,3.1,53100,100,N,P,I,2,6,2.22,LULUS,TM
AP230,0,53100,100,N,P,I,4,9,2.22,GAGAL,MD
MC222,3.31,6000,100,N,P,I,7,8,2.22,LULUS,TS
OM221,3.45,16150,100,N,P,I,2,2,2.22,LULUS,TS
AP230,2.95,41200,101,N,P,I,6,3,2.22,LULUS,TM
MC221,3.08,47630,100,N,P,I,8,1,2.23,LULUS,TS
OM224,3.27,45500,100,N,P,I,6,5,2.23,LULUS,TS
BM221,3.12,40150,100,N,P,I,3,4,2.23,LULUS,TM
AS234,3.46,83210,100,N,P,I,7,2,2.23,LULUS,TM
AP230,3.65,56000,100,N,P,I,1,2,2.23,LULUS,TS
AS227,3.21,31350,100,N,P,I,5,4,2.23,LULUS,TS
LG221,2.93,81200,100,N,L,I,5,5,2.23,LULUS,TM
AP230,3.4,16800,100,N,P,I,8,2,2.23,LULUS,TM
AP230,0,97000,1005,N,L,K,6,3,2.23,GAGAL,MD
AS227,3.57,15100,100,N,P,I,8,2,2.23,LULUS,TM
LG220,2.9,68100,100,N,P,I,3,4,2.24,LULUS,TS
AP230,3.05,42100,100,N,P,I,2,2,2.24,LULUS,TM
AS227,3.29,,100,N,P,I,4,3,2.24,LULUS,TM
AS231,2.87,26700,100,N,P,I,4,3,2.25,LULUS,TM
OM224,3.31,42700,100,N,P,I,2,1,2.27,LULUS,TM
OM221,3.48,76300,100,N,P,I,5,2,2.28,LULUS,TS
AP230,0,86000,100,N,P,I,5,4,2.28,GAGAL,MD
AS247,3.44,15100,100,N,P,I,4,3,2.28,GAGAL,MD
AS234,3.03,71150,100,N,P,I,5,1,2.28,LULUS,TM
OM222,3.27,16800,100,N,P,I,3,3,2.28,LULUS,TS
AP230,2.87,81900,100,N,P,I,4,2,2.28,LULUS,TM
OM222,3.31,33300,100,N,P,I,6,5,2.28,LULUS,TS
AS227,3.62,26300,100,N,P,I,4,3,2.29,LULUS,ANC
AS234,2.79,86900,100,N,L,I,4,6,2.29,LULUS,TM
LG220,3.19,47400,100,N,P,I,5,4,2.29,LULUS,TM
CT226,3.3,26900,100,R,L,I,5,2,2.3,LULUS,TM
IM221,3.23,28750,100,N,P,I,1,4,2.3,LULUS,TS
BM220,3.08,43100,100,N,P,I,8,5,2.3,LULUS,TM
BM230,3.03,23100,100,N,P,I,8,5,2.3,LULUS,TM
BM222,2.84,81200,100,N,L,I,5,8,2.3,LULUS,TM
BM231,3.11,14300,100,N,P,I,2,1,2.3,LULUS,TM
AS230,2.83,20050,100,N,P,I,4,2,2.3,LULUS,TM
OM221,3.23,86000,100,N,P,I,4,3,2.3,LULUS,TS
AS230,3.12,47650,100,N,L,I,3,8,2.31,LULUS,TM
BM221,3.38,47810,100,N,P,I,7,9,2.31,LULUS,TM
LG220,2.84,81200,100,N,P,I,7,4,2.32,LULUS,TM
BM230,2.86,77400,100,N,L,I,9,6,2.32,LULUS,TM
SR223,2.6,22200,100,N,L,I,4,4,2.32,LULUS,TM
AS228,2.32,14400,100,N,P,I,5,5,2.32,GAGAL,D4
OM224,3.31,31200,100,N,P,I,4,3,2.32,LULUS,TM
BM230,3.13,33000,100,N,P,I,3,3,2.32,LULUS,TM
AS232,3.57,81120,100,N,P,I,3,2,2.32,LULUS,TS
AS223,3.11,53300,100,N,L,I,2,5,2.33,LULUS,TM
AS228,2.68,16100,100,N,L,I,4,2,2.33,LULUS,TM
BM220,2.76,18500,100,N,L,I,9,1,2.33,LULUS,TM
AS223,2.98,,100,N,P,I,5,0,2.33,LULUS,TM
BM222,3.57,53100,100,N,L,I,7,6,2.33,LULUS,TM
IM221,3.28,31550,100,N,L,I,4,3,2.33,LULUS,TS
BM220,2.62,13050,100,N,L,I,4,3,2.33,LULUS,TM
CS227,3.05,5200,100,N,P,I,6,9,2.33,LULUS,TM
BM222,1.75,41250,100,N,L,I,5,3,2.33,GAGAL,D1
BM222,2.95,27000,100,N,P,I,3,3,2.33,LULUS,TM
BM222,2.77,81000,100,N,P,I,4,2,2.33,LULUS,TM
BM230,3.2,45000,100,N,L,I,8,4,2.33,LULUS,TM
BM222,2.58,50582,100,N,P,I,5,6,2.33,LULUS,TM
LG220,1.89,17010,100,N,P,I,5,7,2.33,GAGAL,P1
AS232,3.41,60000,100,N,P,I,4,7,2.33,LULUS,TM
BM230,3.53,5450,100,N,P,I,3,9,2.33,LULUS,TM
BM223,2.77,24000,100,N,P,I,5,4,2.33,LULUS,TM
AS247,0,77300,100,N,L,I,7,6,2.33,GAGAL,MD
OM224,3.15,48300,100,N,P,I,4,3,2.33,LULUS,TS
AS243,1.68,97000,100,N,L,I,5,4,2.33,GAGAL,D1
AS234,3.34,84030,100,N,P,I,4,2,2.33,LULUS,TS
CS227,2.62,18000,100,N,P,I,6,2,2.33,LULUS,TM
OM221,3.03,8000,100,N,P,I,5,4,2.33,LULUS,TS
BM222,2.54,89007,922,N,P,K,5,1,2.33,GAGAL,LU
AS227,3.48,34500,100,N,P,I,2,2,2.33,LULUS,TM
BM230,3.45,8000,100,N,P,I,3,7,2.34,LULUS,TM
AP230,2.1,81750,100,N,P,I,5,5,2.34,GAGAL,MD
AS243,1.32,9100,100,N,P,I,3,2,2.34,GAGAL,D1
AP230,3.28,2400,100,N,P,I,5,5,2.34,LULUS,TM
BM222,2.76,59000,100,N,P,I,5,3,2.34,LULUS,TM
BM221,2.61,5400,100,N,L,I,4,6,2.34,LULUS,TM
BM220,3.09,56100,100,N,L,I,7,5,2.34,LULUS,TM
BM220,3.11,81200,100,N,L,I,4,3,2.34,LULUS,TM
IM224,3.18,34200,100,N,L,I,4,5,2.34,LULUS,TS
BM223,2.9,57100,100,N,P,I,5,3,2.35,LULUS,TM
AP230,3.18,81300,100,N,P,I,7,4,2.35,LULUS,TM
IM221,3.69,78000,100,N,P,I,5,4,2.35,LULUS,TS
BM230,2.91,6000,100,N,P,I,1,2,2.35,LULUS,TM
LG220,3.33,11700,100,N,P,I,6,6,2.35,LULUS,TS
BM231,3.15,53300,100,N,P,I,4,6,2.35,LULUS,TM
LG220,3.34,43900,100,N,P,I,3,3,2.35,LULUS,TS
IM221,3.53,98000,1009,N,L,K,6,3,2.35,LULUS,TS
IM221,3.53,16400,100,N,L,I,4,5,2.35,LULUS,TS
BM229,2.81,77400,100,N,P,I,8,1,2.36,LULUS,TM
BM220,1.38,88110,100,N,L,I,5,5,2.36,GAGAL,D1
BM220,2.85,70300,100,N,P,I,8,3,2.36,LULUS,TM
CT225,3.39,45100,100,N,P,I,4,1,2.36,LULUS,TM
BM224,2.79,53300,100,N,L,I,4,6,2.36,LULUS,TM
AS228,2.91,28700,100,N,P,I,2,3,2.36,LULUS,TM
AS203,2,27600,100,N,L,I,2,3,2.36,GAGAL,LU
BM231,3.05,26030,100,N,P,I,3,3,2.36,LULUS,TM
AP225,2.95,9000,100,N,L,I,5,7,2.36,LULUS,TM
BM230,3.09,1000,100,N,P,I,5,6,2.37,LULUS,TS
MC223,3.39,68000,100,N,L,I,5,5,2.37,LULUS,TS
BM220,2.83,88300,104,N,P,I,3,2,2.37,LULUS,TM
BM223,2.9,40000,100,N,P,I,1,3,2.37,LULUS,TM
BM230,1.93,43000,100,N,P,I,4,6,2.37,GAGAL,D5
BM224,2.72,68100,100,N,P,I,2,6,2.37,LULUS,TM
BM220,3,91308,801,N,P,I,5,1,2.37,LULUS,TM
BM230,2.88,68000,100,N,P,I,5,7,2.38,LULUS,TM
AS228,2.75,11920,100,N,P,I,3,3,2.38,LULUS,TM
AS232,3.25,43000,100,N,L,I,6,6,2.38,LULUS,TM
OM224,3.12,43000,100,N,P,I,5,7,2.38,LULUS,TM
BM231,2.98,43000,100,N,P,I,2,4,2.38,LULUS,TM
BM220,3.31,47800,100,N,P,I,2,3,2.38,LULUS,TM
BM221,3.15,86810,100,N,P,I,4,3,2.38,LULUS,TM
BM222,3.32,81200,100,N,P,I,6,7,2.38,LULUS,TM
AS230,1.79,28200,100,N,L,I,9,2,2.38,GAGAL,D2
LG220,3.35,40000,100,N,L,I,5,5,2.38,LULUS,TS
AS230,0,15350,100,N,P,I,4,2,2.38,GAGAL,MD
OM221,3.39,23000,100,N,P,I,5,2,2.38,LULUS,TS
BM220,3.24,54200,100,N,P,I,6,4,2.39,LULUS,TM
BM221,3.24,42920,100,N,P,I,6,4,2.39,LULUS,TM
AS234,3.07,44200,100,N,L,I,8,5,2.39,LULUS,TM
AS228,2.68,26680,100,N,P,I,1,1,2.39,LULUS,TM
CT226,2.94,17500,100,N,P,I,3,6,2.39,LULUS,TM
IM222,3.26,97000,100,N,P,I,5,6,2.39,LULUS,TS
MC223,3.08,16150,100,N,P,I,4,3,2.39,LULUS,TM
CT227,3.2,84900,100,N,L,I,3,5,2.39,LULUS,TM
AP230,3.77,40100,100,N,P,I,4,6,2.39,LULUS,ANC
BM220,3.24,75460,100,N,P,I,9,5,2.39,LULUS,TM
BM222,3.09,85000,100,N,L,I,7,3,2.39,LULUS,TM
BM226,2.84,9000,100,N,P,I,5,3,2.39,LULUS,TM
AS227,3.45,68100,100,N,P,I,9,2,2.39,LULUS,TS
AS232,3.24,16800,100,N,P,I,3,2,2.4,LULUS,TM
AS228,2.44,16600,100,N,P,I,2,1,2.4,GAGAL,LU
BM221,1.93,68000,100,N,L,I,4,3,2.4,GAGAL,D5
IM223,3.15,17500,100,N,L,I,3,3,2.4,LULUS,TS
BM222,3.14,81700,100,N,P,I,6,6,2.4,LULUS,TM
BM220,3.24,40150,100,N,P,I,5,8,2.4,LULUS,TM
IM225,3.6,6400,100,N,P,I,6,1,2.4,LULUS,TS
AS243,1.49,9700,100,N,P,I,6,2,2.4,GAGAL,D1
BM222,2.49,52100,100,N,P,I,2,2,2.4,LULUS,TM
BM224,2.56,48300,100,N,P,I,6,4,2.4,LULUS,TM
BM231,3.64,94000,1002,N,P,I,5,4,2.4,LULUS,ANC
AS227,3.6,6250,100,N,L,I,5,2,2.41,LULUS,ANC
IM223,3.24,28380,100,N,P,I,5,3,2.41,LULUS,TS
BM225,2.84,24000,100,N,P,I,6,4,2.41,LULUS,TM
BM221,1.74,34000,100,N,P,I,1,2,2.41,GAGAL,D1
AS243,1.72,6550,100,N,L,I,4,2,2.41,GAGAL,D1
OM222,3.07,43000,100,N,L,I,8,5,2.41,LULUS,TS
AS231,2.69,21400,100,N,P,I,5,4,2.41,LULUS,TM
BM222,3.01,71750,100,N,L,I,5,6,2.41,LULUS,TM
BM220,3.76,54000,100,N,P,I,2,6,2.41,LULUS,ANC
BM220,3.31,14000,100,N,P,I,5,5,2.41,LULUS,TM
BM220,2.88,83000,100,N,P,I,6,2,2.41,LULUS,TM
BM220,3.23,52200,100,N,P,I,6,9,2.42,LULUS,TM
AS231,2.69,16100,100,N,P,I,1,2,2.42,LULUS,TM
AS232,3.46,52200,100,N,P,I,6,9,2.42,LULUS,TS
AD246,2.49,13100,100,N,P,I,4,8,2.42,GAGAL,LU
OM221,2.94,24000,100,N,P,I,5,4,2.42,LULUS,TS
BM220,3.19,21100,100,N,P,I,7,3,2.42,LULUS,TM
BM220,2.89,81200,100,N,P,I,5,5,2.42,LULUS,TM
MC222,3.26,68000,100,N,P,I,4,3,2.42,LULUS,TS
MC243,1.7,70400,100,N,P,I,2,7,2.42,GAGAL,D1
AS231,2.57,54200,100,N,L,I,4,5,2.42,LULUS,TM
BM224,3.08,43900,100,N,P,I,8,6,2.42,LULUS,TM
BM230,3,13800,100,N,P,I,2,1,2.42,LULUS,TM
LG221,3.52,26070,100,N,P,I,8,2,2.43,LULUS,TS
BM220,2.72,40400,100,N,L,I,3,6,2.43,LULUS,TM
BM222,2.94,97000,1002,N,P,I,6,2,2.43,LULUS,TM
AS228,2.89,81300,100,N,P,I,6,3,2.43,LULUS,TM
BM225,0,35350,100,N,L,I,4,8,2.43,GAGAL,MD
BM230,2.71,25250,100,N,L,I,4,8,2.43,LULUS,TM
AS228,3,86900,100,N,P,I,9,1,2.43,LULUS,TM
BM224,3.34,34300,100,N,P,I,3,2,2.44,LULUS,TM
BM221,2.52,72300,100,N,L,I,7,2,2.44,LULUS,TM
IM227,3.33,83710,100,N,P,I,6,2,2.44,LULUS,TS
OM222,3.25,70400,100,N,P,I,6,4,2.44,LULUS,TS
AS230,1.88,15200,100,N,P,I,3,4,2.44,GAGAL,P1
OM221,3.41,85000,100,N,P,I,7,5,2.44,LULUS,TM
OM221,3.53,85100,100,N,P,I,7,3,2.44,LULUS,TS
BM220,2.93,53100,307,N,P,I,5,6,2.44,LULUS,TM
AS230,3.04,81930,100,N,L,I,3,5,2.44,LULUS,TM
AS232,2.94,44100,100,N,L,I,7,8,2.44,LULUS,TM
BM226,3.37,16150,100,N,P,I,4,4,2.44,LULUS,TM
AS230,2.84,81200,100,N,P,I,7,7,2.44,LULUS,TM
BM230,2.97,82000,100,N,P,I,7,5,2.44,LULUS,TM
AP225,2.8,75400,100,N,P,I,7,2,2.44,LULUS,TM
OM221,2.97,30020,100,N,P,I,5,1,2.44,LULUS,TM
BM220,0,46400,100,N,P,I,4,3,2.44,GAGAL,MD
AS232,2.5,32000,100,N,L,I,8,3,2.44,GAGAL,LU
BM222,3.25,43650,100,N,P,I,7,6,2.45,LULUS,TM
BM230,2.73,18500,100,N,L,I,2,2,2.45,LULUS,TM
AS234,3.27,51200,100,N,P,I,6,2,2.45,LULUS,TM
AP230,0.84,47100,100,N,P,I,3,2,2.45,GAGAL,D1
AP227,3.04,71900,100,N,P,I,8,3,2.45,LULUS,TM
BM234,3.33,42700,100,N,P,I,4,3,2.45,LULUS,TS
BM230,2.92,51100,100,N,P,I,5,3,2.45,LULUS,TM
AS231,2.89,34500,100,N,P,I,0,3,2.45,LULUS,TM
BM220,2.98,68000,100,N,P,I,1,4,2.45,LULUS,TM
OM221,3.33,42700,100,N,P,I,9,3,2.45,LULUS,TS
AS231,0,53100,100,N,L,I,5,5,2.45,GAGAL,MD
BM220,2.77,47000,100,N,L,I,6,4,2.45,LULUS,TM
BM230,3.7,68100,100,N,P,I,7,7,2.45,LULUS,TM
AS232,3.24,32600,100,N,P,I,5,5,2.45,LULUS,TS
BM224,3.34,9600,100,N,P,I,5,5,2.45,LULUS,TM
BM232,2.76,84400,100,N,P,I,8,2,2.45,GAGAL,LU
LG221,3.14,85300,100,N,P,I,4,3,2.45,LULUS,TM
BM225,2.65,40000,100,N,L,I,6,5,2.45,LULUS,TM
CS233,3.22,15300,100,N,P,I,5,7,2.45,LULUS,TM
AS231,1.88,21600,100,N,L,I,2,2,2.45,GAGAL,D4
AP230,1.69,11700,100,N,L,I,4,3,2.45,GAGAL,D2
IM221,3.32,16150,100,N,P,I,3,0,2.45,LULUS,TS
BM222,3.34,84070,100,N,P,I,8,2,2.45,LULUS,TM
AP228,3.55,26500,100,N,P,I,6,4,2.45,LULUS,TM
BM221,2.54,90500,802,N,P,I,1,2,2.45,LULUS,TM
BM222,1.98,36600,100,N,L,I,0,2,2.46,GAGAL,D5
AS231,3.03,83000,100,N,P,I,5,3,2.46,LULUS,TM
OM221,3.27,21080,100,N,P,I,4,2,2.46,LULUS,TS
BM222,3.1,59000,100,N,P,I,5,4,2.46,LULUS,TM
BM224,2.76,81200,100,N,P,I,6,5,2.46,LULUS,TM
BM220,3.27,81300,100,N,L,I,6,3,2.46,LULUS,TM
BM229,3.02,43000,100,N,P,I,5,3,2.46,LULUS,TM
BM225,2.74,68100,100,N,L,I,5,8,2.46,LULUS,TM
BM223,2.84,43650,100,N,P,I,5,4,2.47,LULUS,TM
SR223,3.25,43000,100,N,L,I,4,7,2.47,LULUS,TM
AS228,3.26,72000,100,N,P,I,3,3,2.47,LULUS,TM
MC221,3.4,83200,100,N,P,I,6,5,2.47,LULUS,TS
AS243,1.37,6010,100,N,P,I,5,4,2.47,GAGAL,D1
MC225,3.57,47180,100,N,P,I,5,5,2.47,LULUS,TS
AS232,3.05,75050,100,N,L,I,4,6,2.47,LULUS,TM
BM225,0,70900,100,N,L,I,7,6,2.47,GAGAL,MD
BM224,2.79,32040,100,N,P,I,7,5,2.47,LULUS,TM
AS243,1.61,81750,100,N,P,I,9,4,2.47,GAGAL,D1
BM226,2.86,34100,100,N,L,I,3,5,2.47,LULUS,TM
BM220,3.28,13050,100,N,P,I,5,3,2.47,LULUS,TM
BM220,3.03,81907,100,N,P,I,3,3,2.47,LULUS,TM
BM220,2.76,77000,100,N,L,I,6,5,2.47,LULUS,TM
AS232,3.59,6000,100,N,P,I,2,1,2.47,LULUS,TS
SR223,2.71,10460,100,N,L,I,7,4,2.47,LULUS,TM
BM223,3.16,41200,100,N,P,I,4,9,2.48,LULUS,TM
AS230,3.4,30010,100,N,P,I,6,1,2.48,LULUS,TM
BM224,3.02,13500,100,N,P,I,4,3,2.48,LULUS,TM
MC228,3.35,40150,100,N,P,I,4,1,2.48,LULUS,TS
BM221,2.86,26200,100,N,P,I,2,3,2.48,LULUS,TM
BM229,3.2,50300,100,N,P,I,6,7,2.48,LULUS,TM
BM220,3.44,81700,100,N,P,I,2,5,2.48,LULUS,TM
BM220,3.22,84200,100,N,P,I,6,3,2.48,LULUS,TM
AS230,2.41,90000,100,N,P,I,6,7,2.48,GAGAL,LU
BM223,2.91,43500,100,N,P,I,3,8,2.48,LULUS,TM
AS243,1.16,43800,1200,N,L,I,2,2,2.48,GAGAL,D1
BM221,3.26,31000,100,N,P,I,4,1,2.48,LULUS,TM
BM230,3.1,41250,100,N,P,I,5,3,2.48,LULUS,TM
BM220,2.84,17500,100,N,P,I,6,4,2.48,LULUS,TM
CT226,3.52,44000,100,N,P,I,4,8,2.48,LULUS,TS
BM220,2.86,21700,100,N,P,I,7,2,2.48,LULUS,TM
BM222,3.04,71300,100,N,L,I,6,3,2.49,LULUS,TM
AS230,3.36,78300,100,N,P,I,3,5,2.49,LULUS,TM
BM222,2.96,14000,100,N,P,I,2,1,2.49,LULUS,TM
BM230,3.17,71760,100,N,P,I,4,6,2.49,LULUS,TM
BM222,2.93,85300,100,N,P,I,7,3,2.49,LULUS,TM
AS230,3.53,16400,100,N,P,I,9,3,2.49,LULUS,TM
AS230,1.94,26600,100,N,L,I,3,3,2.49,GAGAL,D5
BM231,3.27,15100,100,N,L,I,8,3,2.49,LULUS,TM
BM222,2.87,5300,100,N,P,I,3,7,2.49,LULUS,TM
OM221,3.33,70400,100,N,P,I,5,2,2.49,LULUS,TM
BM221,2.47,8200,100,N,L,I,3,5,2.49,GAGAL,LU
OM221,2.71,16040,100,N,P,I,3,3,2.49,LULUS,TS
ED226,3.28,21800,100,N,L,I,3,3,2.5,LULUS,TM
AP236,3.14,6900,100,N,P,I,5,1,2.5,LULUS,TM
AP229,3.16,83200,100,N,P,I,6,1,2.5,LULUS,TM
CS228,1.96,81700,100,N,L,I,5,4,2.5,GAGAL,D4
HM221,2.81,8000,100,N,L,I,1,3,2.5,LULUS,TM
AS227,3.52,17500,100,N,P,I,5,3,2.5,LULUS,TM
IM221,3.6,77300,100,N,P,I,8,2,2.5,LULUS,TS
CS227,3.29,75250,100,N,P,I,3,2,2.5,LULUS,TM
CS226,2.06,13100,100,N,P,I,6,2,2.5,GAGAL,D4
BM230,3.25,48050,100,N,P,I,7,5,2.5,LULUS,TM
