PROGRAM,CGPA_AKHIR,POSTKOD,BANGSA,CACAT,JANTINA,AGAMA,TANGGUNGAN,GAJI,CGPA_MASUK,STATUS_GRAD,HEA_STATUS
OM223,3.32,98850,1004,N,P,K,4,1,2.42,LULUS,TS
BM220,1.71,98850,100,N,P,I,4,6,2.33,GAGAL,D1
IM225,2.95,98850,804,N,P,K,6,2,2.83,LULUS,TS
OM221,2.9,98850,100,N,P,I,6,3,2.92,LULUS,TS
BM220,3.06,98850,100,N,L,I,8,1,2.75,LULUS,TM
OM221,3.24,98708,1004,N,P,L,5,3,3.42,LULUS,TM
IM225,3.01,98700,1004,N,P,K,1,1,2.67,LULUS,TS
MC228,2.87,98700,1008,N,P,K,1,2,2.25,LULUS,TS
HM222,3.05,98700,1003,N,L,I,1,2,2.67,LULUS,TM
IM220,3.16,98700,100,N,P,I,2,1,3.17,LULUS,TS
IM224,2.88,98700,1004,N,P,K,2,1,2.83,LULUS,TS
OM221,3.41,98700,1004,N,P,L,3,2,3,LULUS,TS
LG221,3.02,98700,1003,N,P,I,3,2,2.67,LULUS,TM
ED222,3.39,98700,100,N,L,I,4,2,3.33,LULUS,TS
BM236,3.04,98700,100,N,P,I,4,1,2.84,LULUS,TM
LG221,3.09,98700,100,N,P,I,4,1,2.42,LULUS,TS
AM228,3.43,98700,909,N,L,I,5,2,2.92,LULUS,TS
LG221,3.46,98700,909,N,P,I,5,1,2.5,LULUS,TS
AM228,3.03,98700,100,N,P,I,6,4,2.92,LULUS,TS
BM221,3.17,98700,902,N,P,K,6,1,2.5,LULUS,TM
HM225,2.95,98700,1004,N,L,K,7,2,3,LULUS,TM
BM220,3.04,98700,100,N,P,I,9,4,2.67,LULUS,TM
OM221,2.89,98200,100,N,P,I,4,1,2.5,LULUS,TM
SR221,2.76,98200,913,N,P,I,5,2,2.33,LULUS,TM
LG221,3.04,98150,100,N,L,I,4,2,2.17,LULUS,TM
OM221,2.92,98107,1006,N,P,K,2,1,2.3,LULUS,TM
BM236,2.19,98107,1004,N,P,K,2,0,2.92,GAGAL,LU
HM220,3.26,98100,1004,N,P,K,2,3,3.8,LULUS,TS
BM220,3.28,98100,1004,N,P,K,3,3,2.75,LULUS,TM
IM226,3.19,98100,1004,N,L,K,3,3,2.75,LULUS,TS
BM226,2.97,98100,1004,N,L,K,4,3,3.25,LULUS,TM
BM232,3.21,98100,1004,N,P,K,4,2,2.83,LULUS,TS
IM224,3.15,98100,1004,N,L,K,5,2,3.17,LULUS,TS
BM221,1.68,98100,100,N,L,I,7,2,2.58,GAGAL,D1
BM223,3.2,98050,1004,N,L,K,3,1,2.59,LULUS,TM
BM242,1.78,98050,1006,N,P,K,4,2,2.67,GAGAL,D1
HM225,3.12,98050,1004,N,P,K,5,6,3.34,LULUS,TM
BM220,3.69,98000,100,N,L,I,1,2,2.83,LULUS,ANC
OM221,2.9,98000,1006,N,P,K,1,3,2.17,LULUS,TM
BM232,3.39,98000,1007,N,P,K,1,1,2.75,LULUS,TS
AM228,3.23,98000,1004,N,P,K,2,3,2.92,LULUS,TS
AM228,2.83,98000,1004,N,P,K,2,1,2.75,LULUS,TM
BM223,0,98000,1004,N,L,K,2,2,2.67,GAGAL,MD
HM220,2.9,98000,1004,N,P,K,2,3,3.8,LULUS,TM
IM223,3.1,98000,1004,N,P,K,2,1,2.92,LULUS,TS
BM220,3.03,98000,1006,N,L,K,3,4,3.09,LULUS,TM
BM224,2.79,98000,1004,N,P,K,3,2,2.34,LULUS,TM
BM223,3.26,98000,1006,N,P,K,3,2,2.59,LULUS,TM
HM221,2.61,98000,1004,N,P,I,3,2,2.75,LULUS,TM
BM220,3.06,98000,100,N,L,I,3,2,2.59,LULUS,TM
AP220,2.93,98000,100,N,P,I,3,2,2.67,LULUS,TM
BM224,1.68,98000,100,N,P,I,4,1,2.75,GAGAL,D1
BM232,3.17,98000,1002,N,P,K,4,2,2.83,LULUS,TS
OM223,2.73,98000,1005,N,L,K,4,4,3.67,LULUS,TM
HM220,3.16,98000,1004,N,P,5,4,5,2.92,LULUS,TM
BM220,2.67,98000,1004,N,P,K,4,2,2.5,LULUS,TM
BM234,3.67,98000,1004,N,P,L,4,4,3,LULUS,TS
BM232,3.47,98000,1137,N,P,K,4,2,2.84,LULUS,TS
IM226,2.82,98000,1004,N,L,K,5,2,2.5,LULUS,TS
AM228,2.88,98000,1004,N,L,K,5,3,2.75,LULUS,TS
AM228,2.79,98000,1006,N,P,K,5,1,2.5,LULUS,TM
HM220,3.43,98000,100,N,L,I,5,4,3,LULUS,TM
HM221,3.14,98000,100,N,P,I,5,7,2.67,LULUS,TM
IM225,3.54,98000,1007,N,P,K,6,2,2.92,LULUS,TS
BM220,3.07,98000,100,N,P,I,7,4,3.9,LULUS,TM
BM232,3.2,98000,1005,N,P,K,7,6,3.25,LULUS,TS
AP221,3.13,98000,1003,N,P,I,7,1,3.92,LULUS,TM
BM232,3.19,98000,1004,N,P,K,7,1,3.9,LULUS,TM
HM221,2.81,97200,1006,N,P,K,4,1,2.92,LULUS,TM
BM224,1.44,97200,1004,N,L,L,5,2,2.34,GAGAL,D1
SR223,2.7,97100,1004,N,P,K,2,3,2.34,LULUS,TM
BM220,3.11,97100,1004,N,P,K,6,4,3.8,LULUS,TM
BM224,3.03,97100,1004,N,P,K,6,1,2.92,LULUS,TM
BM223,3.52,97008,1004,N,P,L,1,2,3.42,LULUS,TM
LG220,1.08,97000,1004,N,L,K,1,5,2.42,GAGAL,D1
BM220,2.63,97000,1004,N,P,K,1,3,2.83,GAGAL,LU
BM220,2.92,97000,1002,N,P,I,2,3,2.92,LULUS,TM
HM221,3.03,97000,1004,N,P,I,3,0,2.58,LULUS,TM
OM222,2.96,97000,1004,N,P,K,3,3,2.84,LULUS,TS
BM222,3.05,97000,1002,N,L,I,3,4,2.42,LULUS,TM
HM221,2.81,97000,1004,N,P,K,3,2,2.83,LULUS,TM
AM228,3.17,97000,1004,N,P,K,3,3,3.34,LULUS,TS
ED226,1.44,97000,1005,N,P,K,4,4,2.58,GAGAL,D4
AD224,3.3,97000,1004,N,L,K,4,3,2.17,LULUS,TS
AM228,3.67,97000,1004,N,P,K,4,2,3.17,LULUS,ANC
OM224,3.1,97000,100,N,P,I,4,4,2.83,LULUS,TS
BM220,2.91,97000,1004,N,P,K,4,2,2.42,LULUS,TM
IM220,2.89,97000,1004,N,P,K,4,2,2.5,LULUS,TM
BM220,3.1,97000,1007,N,P,K,4,2,2.83,LULUS,TM
BM223,2.79,97000,1004,N,P,K,4,4,2.58,LULUS,TM
IM225,3.18,97000,1004,N,P,K,5,2,3.33,LULUS,TS
LG221,3.14,97000,100,N,L,I,5,3,2.58,LULUS,TS
BM220,3.04,97000,1004,N,P,K,5,2,3,LULUS,TM
BM230,2.55,97000,1002,N,P,I,5,4,2.75,LULUS,TM
IM225,3.42,97000,1004,N,P,K,6,3,2.75,LULUS,TS
OM222,2.89,97000,1004,N,P,K,6,3,2.59,LULUS,TS
BM224,2.74,97000,1002,N,P,I,6,4,2.67,LULUS,TM
IM224,3.13,97000,1004,N,L,L,6,4,3.8,LULUS,TS
BM230,3.02,97000,1004,N,P,L,6,2,3.42,GAGAL,LU
IM223,2.87,97000,100,N,P,I,7,4,2.42,LULUS,TM
IM225,3.07,97000,1004,N,P,K,8,2,3,LULUS,TS
BM223,2.66,97000,100,N,P,I,8,6,2.5,LULUS,TM
BM216,3.02,97000,1002,N,P,I,8,3,3.25,LULUS,TM
OM221,2.7,97000,100,N,P,I,9,2,2.83,LULUS,TM
IM220,2.86,96900,28,N,P,K,4,2,2.42,LULUS,TM
BM232,3.18,96900,1007,N,P,K,7,5,3,LULUS,TS
LG221,2.69,96850,1004,N,L,K,1,2,2.59,LULUS,TM
